customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
9155-YYRWJ,Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,26.04,437.47,No
1262-PZPYT,Male,0,No,Yes,25,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),73.34,1838.7,No
3049-APLEE,Female,0,Yes,No,72,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),68.33,4923.12,No
8158-IICSP,Male,0,No,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),22.3,176.28,No
3255-CTXVX,Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),77.81,159.17,No
2648-HDFHT,Female,0,No,Yes,14,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,99.49,1384.42,No
9445-CPYCY,Male,0,No,No,10,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,98.8,1000.24,No
3961-NRBVC,Female,0,No,No,21,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,106.16,2248.72,Yes
1956-IDADA,Female,0,No,No,61,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),67.14,4082.26,No
5493-UPTXH,Male,0,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,85.08,2041.45,No
2218-QAPLS,Female,0,Yes,Yes,20,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),89.64,1785.12,No
4446-VNFFM,Female,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),74.39,429.38,No
9754-VHBUA,Male,0,No,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.59,184.61,No
8022-AEPSD,Female,0,Yes,No,13,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,67.26,870.69,Yes
5642-QQLNU,Male,0,No,Yes,53,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,68.73,3650.28,No
2060-XQNUC,Male,0,Yes,Yes,20,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,77.81,1567.82,No
1699-ATUWA,Female,1,Yes,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),22.88,363.81,No
4327-CRYJV,Female,0,No,No,18,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),70.31,1280.37,No
1569-CHNXR,Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,90.29,3880.16,No
8455-OVWBJ,Female,0,Yes,No,27,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),68.98,1864.86,No
2409-ZQHAI,Male,0,No,No,62,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,55.32,3436.83,No
8343-GJWZC,Female,0,No,No,20,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,1504.54,No
2841-YXMZG,Male,1,Yes,Yes,5,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,68.74,352.12,Yes
8992-DMTAH,Male,0,No,No,0,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Mailed check,97.11, ,Yes
7655-NPNLS,Female,0,No,No,9,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),56.14,515.79,No
7614-OBBWV,Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),82.82,93.6,No
5146-YZVZZ,Female,0,No,No,12,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.5,1017.25,Yes
8509-QTJFO,Male,0,Yes,No,4,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,57.78,232.98,No
3491-EAHUL,Male,0,No,No,12,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,80.18,963.91,Yes
1004-GDFMT,Female,0,No,No,12,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,65.64,800.53,No
5142-CWHTP,Female,1,Yes,No,7,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,62.89,434.48,No
5465-JSQXS,Male,0,Yes,Yes,25,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),79.17,1971.4,No
6177-WZEZU,Female,0,No,No,13,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,97.6,1261.09,No
6949-WILUA,Female,0,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,26.46,1403.48,No
2081-ZAOBV,Male,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.98,15.42,Yes
1559-YHMUA,Female,0,Yes,No,12,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),77.44,927.32,No
4343-GEVWC,Male,0,Yes,Yes,35,No,No phone service,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,54.92,1923.08,No
4147-ZPSEV,Male,0,Yes,No,16,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,68.37,1109.69,No
3744-NEOQN,Female,0,Yes,No,72,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,97.28,6989.18,Yes
7617-PUGDA,Female,0,Yes,No,4,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Mailed check,87.86,341.25,Yes
8421-EWZJV,Female,1,No,No,9,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,64.67,590.82,No
3849-TJZSZ,Male,0,Yes,No,2,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,97.54,213.81,No
5611-PXPWB,Male,0,No,No,6,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,65.11,397.61,Yes
7303-TXLRC,Male,0,Yes,Yes,26,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,83.54,2162.6,No
3427-AASKE,Female,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,27.05,439.01,No
6387-CAAHJ,Male,0,No,Yes,4,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Mailed check,58.1,238.34,No
2066-LMLNB,Male,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,22.27,342.71,No
9945-CWQZH,Male,0,Yes,No,45,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),70.08,3158.39,No
7748-ZJZBS,Female,0,Yes,No,13,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),88.62,1159.71,Yes
9808-GDZUR,Male,0,No,Yes,0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,97.1, ,No
1412-XDYUY,Female,0,No,Yes,1,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,67.81,72.69,No
9867-JEIXC,Female,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),81.54,1069.28,No
2122-PDRQG,Male,0,No,No,21,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,88.2,1850.31,Yes
3143-XWELQ,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.69,1279.52,No
4766-MWYCI,Male,0,No,Yes,72,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),63.37,4547.28,No
6917-QQTPY,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,78.56,5663.75,No
2365-MSQDL,Female,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.23,340.21,No
8400-SLIGN,Female,0,No,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,24.04, ,No
3782-TSZOP,Female,0,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,84.29,409.33,No
5980-ECLYT,Male,1,No,Yes,13,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),68.69,881.14,No
6588-DUWPY,Male,0,Yes,No,50,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,85.62,4274.2,No
2062-MUJZG,Female,1,No,No,0,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,94.48, ,No
7541-ZECWK,Female,0,Yes,No,17,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),81.28,1387.08,Yes
9010-ROLIJ,Female,0,No,No,25,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,107.27,2683.74,No
1953-LQFGN,Female,0,No,No,8,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),87.46,700.61,No
2191-JIRZB,Female,0,Yes,No,9,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),85.73,769.37,No
2540-EFSHP,Female,0,Yes,No,11,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,81.71,884.31,No
2365-TQGYM,Female,0,No,No,7,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,68.87,483.64,No
4141-SLVGJ,Female,0,Yes,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,28.32,367.61,No
6977-SGCMM,Male,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),87.74,343.69,Yes
5849-ZTHIG,Male,0,No,No,5,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),66.67,347.88,No
4072-CMYQY,Female,0,Yes,Yes,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.48, ,No
1823-AFUFZ,Male,0,No,No,12,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,66.05,785.66,No
4627-MMOUP,Male,0,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.45,952.8,No
6348-DCSTY,Male,1,Yes,Yes,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.25,306.01,No
7190-IQNOA,Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Mailed check,79.98,1436.29,No
9053-CPWYK,Female,0,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),54.19,763.97,No
2353-PHFLX,Female,0,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,24.19,509.99,No
1667-UHZDZ,Male,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.55,154.74,Yes
4719-ZREID,Female,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.53,100.56,Yes
4775-VQIAU,Male,0,No,Yes,68,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Mailed check,59.35,4043.89,No
8891-MPMNC,Female,0,No,Yes,14,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Electronic check,89.09,1248.66,No
4324-FRSEO,Female,0,No,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,33.24,1405.26,No
1009-XRMEW,Male,0,Yes,No,59,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),84.73,5001.75,No
2015-AVARO,Female,0,No,No,22,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),102.67,2255.46,No
8449-YVQMA,Male,0,No,Yes,8,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.45,801.96,No
2633-ICAUP,Female,0,No,Yes,27,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,83.94,2262.34,Yes
3000-EEFCU,Female,1,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,24.32,315.13,No
8190-EUEJJ,Female,0,Yes,Yes,72,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,106.11,7653.8,No
5178-QUNIN,Male,1,Yes,Yes,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.25,754.18,No
3048-SMMDA,Female,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,90.72,3637.34,No
5976-HBHGZ,Male,0,No,No,21,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,58.25,1222.11,No
1249-BVVCR,Male,0,Yes,No,0,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,55.42, ,Yes
5363-AVLEY,Male,0,Yes,No,42,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Electronic check,77.05,3225.52,No
7544-POWOE,Female,0,No,Yes,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.53, ,No
7996-NBKSG,Female,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),26.46,90.23,Yes
7881-FRBRO,Female,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,37.19,1594.13,Yes
8002-SBTYF,Female,0,Yes,No,5,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),97.06,481.1,No
8648-XOWJS,Female,0,Yes,No,44,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,64.68,2836.31,Yes
3180-DJXQJ,Male,1,Yes,No,6,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,81.27,479.03,No
3832-TXEBF,Male,0,Yes,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,24.63,858.57,No
6569-MKKPK,Male,1,No,No,18,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),66.74,1201.97,No
2906-OYWWP,Male,0,Yes,Yes,26,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Credit card (automatic),91.66,2399.66,No
7238-KVPHD,Male,0,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.13,902.58,No
9472-CCRZS,Male,0,Yes,No,72,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,71.42,5158.23,No
8570-UERJV,Female,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.32,49.52,No
7981-AEILZ,Male,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.09,659.0,No
3593-QNZMI,Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,90.58,6532.04,No
7937-YOYVO,Male,0,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.49,189.29,No
7493-KPQZD,Male,0,Yes,Yes,9,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),57.07,534.04,No
2276-TOOXV,Female,0,Yes,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.25,499.07,No
9717-ZWNXB,Male,0,No,Yes,12,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,72.41,883.59,No
1364-ZNXSG,Female,0,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,101.09,497.29,No
6122-OWNKO,Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,85.39,337.07,No
2531-MRZFC,Male,1,No,No,5,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,96.02,480.94,No
2906-OYWEJ,Male,0,Yes,No,29,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Electronic check,90.88,2634.44,No
2062-YQGVZ,Female,0,Yes,Yes,60,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Mailed check,100.25,6012.17,No
1125-LYQMT,Male,0,No,Yes,39,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),68.09,2636.26,No
7168-DJCIM,Male,0,No,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),32.06,455.74,Yes
7371-OVBOH,Male,0,No,No,18,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),71.02,1281.81,Yes
7891-SJIEF,Female,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),91.68,2124.3,Yes
3739-ZBXMF,Male,0,Yes,No,20,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),93.47,1860.75,No
4812-YAUVU,Female,0,No,No,72,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,90.99,6549.18,No
2733-FWPDK,Female,1,Yes,No,52,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),92.29,4802.36,Yes
4517-XWIWC,Female,0,No,No,1,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),64.59,63.05,No
9434-HEDXF,Male,0,Yes,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.33,997.52,No
