customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureGroup
2648-HDFHT,Female,No,No,Yes,14,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,99.49,1384.42,No,13-24 months
9445-CPYCY,Male,No,No,No,10,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,98.8,1000.24,No,0-12 months
3961-NRBVC,Female,No,No,No,21,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,106.16,2248.72,Yes,13-24 months
1956-IDADA,Female,No,No,No,61,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),67.14,4082.26,No,49+ months
5493-UPTXH,Male,No,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,85.08,2041.45,No,13-24 months
2218-QAPLS,Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),89.64,1785.12,No,13-24 months
4446-VNFFM,Female,No,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),74.39,429.38,No,0-12 months
9754-VHBUA,Male,No,No,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.59,184.61,No,0-12 months
8022-AEPSD,Female,No,Yes,No,13,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,67.26,870.69,Yes,13-24 months
5642-QQLNU,Male,No,No,Yes,53,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,68.73,3650.28,No,49+ months
2060-XQNUC,Male,No,Yes,Yes,20,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,77.81,1567.82,No,13-24 months
1699-ATUWA,Female,Yes,Yes,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),22.88,363.81,No,13-24 months
4327-CRYJV,Female,No,No,No,18,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),70.31,1280.37,No,13-24 months
1569-CHNXR,Male,No,No,No,43,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,90.29,3880.16,No,25-48 months
8455-OVWBJ,Female,No,Yes,No,27,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),68.98,1864.86,No,25-48 months
2409-ZQHAI,Male,No,No,No,62,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,55.32,3436.83,No,49+ months
8343-GJWZC,Female,No,No,No,20,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,1504.54,No,13-24 months
2841-YXMZG,Male,Yes,Yes,Yes,5,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,68.74,352.12,Yes,0-12 months
8992-DMTAH,Male,No,No,No,0,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Mailed check,97.11,0.0,Yes,0-12 months
7655-NPNLS,Female,No,No,No,9,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),56.14,515.79,No,0-12 months
7614-OBBWV,Female,No,Yes,Yes,1,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),82.82,93.6,No,0-12 months
5146-YZVZZ,Female,No,No,No,12,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.5,1017.25,Yes,0-12 months
8509-QTJFO,Male,No,Yes,No,4,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,57.78,232.98,No,0-12 months
3491-EAHUL,Male,No,No,No,12,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,80.18,963.91,Yes,0-12 months
1004-GDFMT,Female,No,No,No,12,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,65.64,800.53,No,0-12 months
5142-CWHTP,Female,Yes,Yes,No,7,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,62.89,434.48,No,0-12 months
5465-JSQXS,Male,No,Yes,Yes,25,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),79.17,1971.4,No,25-48 months
6177-WZEZU,Female,No,No,No,13,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,97.6,1261.09,No,13-24 months
6949-WILUA,Female,No,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,26.46,1403.48,No,49+ months
2081-ZAOBV,Male,No,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.98,15.42,Yes,0-12 months
1559-YHMUA,Female,No,Yes,No,12,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),77.44,927.32,No,0-12 months
4343-GEVWC,Male,No,Yes,Yes,35,No,No phone service,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,54.92,1923.08,No,25-48 months
4147-ZPSEV,Male,No,Yes,No,16,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,68.37,1109.69,No,13-24 months
3744-NEOQN,Female,No,Yes,No,72,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,97.28,6989.18,Yes,49+ months
7617-PUGDA,Female,No,Yes,No,4,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Mailed check,87.86,341.25,Yes,0-12 months
8421-EWZJV,Female,Yes,No,No,9,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,64.67,590.82,No,0-12 months
3849-TJZSZ,Male,No,Yes,No,2,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,97.54,213.81,No,0-12 months
5611-PXPWB,Male,No,No,No,6,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,65.11,397.61,Yes,0-12 months
7303-TXLRC,Male,No,Yes,Yes,26,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,83.54,2162.6,No,25-48 months
3427-AASKE,Female,No,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,27.05,439.01,No,13-24 months
6387-CAAHJ,Male,No,No,Yes,4,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Mailed check,58.1,238.34,No,0-12 months
2066-LMLNB,Male,No,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,22.27,342.71,No,13-24 months
9945-CWQZH,Male,No,Yes,No,45,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),70.08,3158.39,No,25-48 months
7748-ZJZBS,Female,No,Yes,No,13,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),88.62,1159.71,Yes,13-24 months
9808-GDZUR,Male,No,No,Yes,0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,97.1,0.0,No,0-12 months
1412-XDYUY,Female,No,No,Yes,1,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,67.81,72.69,No,0-12 months
9867-JEIXC,Female,No,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),81.54,1069.28,No,13-24 months
2122-PDRQG,Male,No,No,No,21,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,88.2,1850.31,Yes,13-24 months
3143-XWELQ,Male,No,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.69,1279.52,No,49+ months
4766-MWYCI,Male,No,No,Yes,72,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),63.37,4547.28,No,49+ months
6917-QQTPY,Female,No,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,78.56,5663.75,No,49+ months
2365-MSQDL,Female,No,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.23,340.21,No,13-24 months
8400-SLIGN,Female,No,No,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,24.04,0.0,No,0-12 months
3782-TSZOP,Female,No,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,84.29,409.33,No,0-12 months
5980-ECLYT,Male,Yes,No,Yes,13,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),68.69,881.14,No,13-24 months
6588-DUWPY,Male,No,Yes,No,50,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,85.62,4274.2,No,49+ months
2062-MUJZG,Female,Yes,No,No,0,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,94.48,0.0,No,0-12 months
7541-ZECWK,Female,No,Yes,No,17,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),81.28,1387.08,Yes,13-24 months
9010-ROLIJ,Female,No,No,No,25,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,107.27,2683.74,No,25-48 months
1953-LQFGN,Female,No,No,No,8,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),87.46,700.61,No,0-12 months
2191-JIRZB,Female,No,Yes,No,9,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),85.73,769.37,No,0-12 months
2540-EFSHP,Female,No,Yes,No,11,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,81.71,884.31,No,0-12 months
2365-TQGYM,Female,No,No,No,7,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,68.87,483.64,No,0-12 months
4141-SLVGJ,Female,No,Yes,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,28.32,367.61,No,13-24 months
6977-SGCMM,Male,No,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),87.74,343.69,Yes,0-12 months
5849-ZTHIG,Male,No,No,No,5,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),66.67,347.88,No,0-12 months
4072-CMYQY,Female,No,Yes,Yes,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.48,0.0,No,0-12 months
1823-AFUFZ,Male,No,No,No,12,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,66.05,785.66,No,0-12 months
4627-MMOUP,Male,No,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.45,952.8,No,25-48 months
6348-DCSTY,Male,Yes,Yes,Yes,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.25,306.01,No,13-24 months
7190-IQNOA,Female,No,Yes,No,18,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Mailed check,79.98,1436.29,No,13-24 months
9053-CPWYK,Female,No,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),54.19,763.97,No,13-24 months
2353-PHFLX,Female,No,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,24.19,509.99,No,13-24 months
1667-UHZDZ,Male,No,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.55,154.74,Yes,0-12 months
4719-ZREID,Female,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.53,100.56,Yes,0-12 months
4775-VQIAU,Male,No,No,Yes,68,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Mailed check,59.35,4043.89,No,49+ months
8891-MPMNC,Female,No,No,Yes,14,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Electronic check,89.09,1248.66,No,13-24 months
4324-FRSEO,Female,No,No,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,33.24,1405.26,No,25-48 months
1009-XRMEW,Male,No,Yes,No,59,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),84.73,5001.75,No,49+ months
2015-AVARO,Female,No,No,No,22,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),102.67,2255.46,No,13-24 months
8449-YVQMA,Male,No,No,Yes,8,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.45,801.96,No,0-12 months
2633-ICAUP,Female,No,No,Yes,27,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,83.94,2262.34,Yes,25-48 months
3000-EEFCU,Female,Yes,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,24.32,315.13,No,13-24 months
8190-EUEJJ,Female,No,Yes,Yes,72,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,106.11,7653.8,No,49+ months
5178-QUNIN,Male,Yes,Yes,Yes,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.25,754.18,No,25-48 months
3048-SMMDA,Female,No,No,No,40,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,90.72,3637.34,No,25-48 months
5976-HBHGZ,Male,No,No,No,21,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,58.25,1222.11,No,13-24 months
1249-BVVCR,Male,No,Yes,No,0,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,55.42,0.0,Yes,0-12 months
5363-AVLEY,Male,No,Yes,No,42,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Electronic check,77.05,3225.52,No,25-48 months
7544-POWOE,Female,No,No,Yes,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.53,0.0,No,0-12 months
7996-NBKSG,Female,No,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),26.46,90.23,Yes,0-12 months
7881-FRBRO,Female,No,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,37.19,1594.13,Yes,25-48 months
8002-SBTYF,Female,No,Yes,No,5,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),97.06,481.1,No,0-12 months
8648-XOWJS,Female,No,Yes,No,44,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,64.68,2836.31,Yes,25-48 months
3180-DJXQJ,Male,Yes,Yes,No,6,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,81.27,479.03,No,0-12 months
3832-TXEBF,Male,No,Yes,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,24.63,858.57,No,25-48 months
6569-MKKPK,Male,Yes,No,No,18,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),66.74,1201.97,No,13-24 months
2906-OYWWP,Male,No,Yes,Yes,26,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Credit card (automatic),91.66,2399.66,No,25-48 months
7238-KVPHD,Male,No,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.13,902.58,No,25-48 months
9472-CCRZS,Male,No,Yes,No,72,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,71.42,5158.23,No,49+ months
8570-UERJV,Female,No,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.32,49.52,No,0-12 months
7981-AEILZ,Male,No,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.09,659.0,No,25-48 months
3593-QNZMI,Male,No,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,90.58,6532.04,No,49+ months
7937-YOYVO,Male,No,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.49,189.29,No,0-12 months
7493-KPQZD,Male,No,Yes,Yes,9,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),57.07,534.04,No,0-12 months
2276-TOOXV,Female,No,Yes,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.25,499.07,No,25-48 months
9717-ZWNXB,Male,No,No,Yes,12,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,72.41,883.59,No,0-12 months
1364-ZNXSG,Female,No,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,101.09,497.29,No,0-12 months
6122-OWNKO,Female,No,No,No,4,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,85.39,337.07,No,0-12 months
